index,S. No.,text,task_1
40,41,"ধৰ্মৰ নামত দয়া, মমতা দেখুওৱা মানুহ নহয় আমি",HOF
41,42,"এইবোৰ দিশে আমাৰ সমাজখনক এফালৰ পৰা গ্ৰাস কৰিছে, স্ত্ৰীৰ চাল-চলনে, পুৰুষ আৰু প্ৰকৃতি(স্ত্ৰী)ৰ ভাৰসাম্যতা বিকৃত কৰিছে ",NOT
42,43,"কুকুৰ বুলি কিয় কৈছে অসভ্য ক'ৰবাৰ, লাজ নাই।",HOF
44,45,সুদূৰ ভাই বুলিহে কলো,HOF
45,46,যেতিয়ালৈকে মহিলা সকলে নিজে সচেতন নহৈ তেতিয়ালৈ এইবোৰ হৈ থাকিবই,NOT
46,47,আমাৰ চোৰজনে কেজৰিয়ালক মাতিবলৈ  সাহস নকৰে ।,HOF
47,48,অসমত মুছলমানসকলে আগতেও কোনো সন্ত্ৰাসবাদী কাৰ্যকলাপ কৰা নাই পিছলৈ ও নকৰে আত্মবিশ্বাসী।কথা আৰু কাম দুউটায়ে বেলেগ এজনে মুছলমানৰ ঘৰ ভাঙীব আৰু এজনে শান্তনা দিব মাদ্ৰাছা খন জে ভাঙীছে তাৰ উত্তৰ দিয়ক বকি থাকি লাভনাই,HOF
48,49,ছ’চিয়াল মিডিয়াৰ ভিডিঅ’ বৰ্ণনা কৰিটোৱে সাংবাদিকতা নহয় । ক’ত কি ভাইৰেল হয় তাৰেই খবৰ লৈ থাকা নেকি ?,NOT
49,50,হিমন্ত sir ধৰ্মক লৈ ৰাজনিতি নকৰিৱ। আপোনাৰ news live চেনেলটোৰ সম্মুখত বহি এনে ল্লীপ্প দিলে নহৱ। 1971 /24 মাৰ্চৰ মাজ নিশাৰ পিছতেই অহা যিয়েনো ধৰ্মৰ মানুহ হʼক অসম এৰি জাৱই লাগিৱ।,HOF
51,52,কিন্তুু মুলিম সংঘটন লাগে বা নালাগ কোনোয়ে নকয় কিয় । কবলৈ ভয় লাগে নে কি ?,HOF
52,53,"প্ৰক্ঋত অসমীয়া মুছলমানে এই বোৰৰ কেতিয়াওঁ নকৰে,আৰু এই মুছলমানবোৰৰ১/২/৩ লৰা ছোৱালী থাকে.",HOF
53,54,"জগৰীয়া কোনোনহয়,জগৰীয়া সময়. বা কাল,সকলোৰে আহে",NOT
56,57,এটিয়া ভুগিব কংগ্ৰেছ ভোট দি কি হল৷,HOF
57,58,ইজুনে ভাল কাম কৰে তাকে ভোট দএইবোৰ পইচা দি অনা মানুহ,HOF
59,60,গোটেই ভাৰতক দিল্লী মডেল লাগে,NOT
60,61,"ওপৰেৰে পানী ঢালি, তলে তলে গছ কটা",HOF
63,64,তোমাৰ মা ও  হয় তো প্রসাধনৰ নামত কিবা অলপ সালনিহে ঘৰৰ পৰা বাহিৰলৈ ওলাই যায়....,NOT
64,65,"বুদ্ধিজীৱী এডমিন,আপোনাৰ গুণ আমাৰ অসম বাসী ৰাইজে বুজি নাপাব,",NOT
65,66,বৰ অবুজন মানুহ দেই এইবোৰ,NOT
66,67,সুকুৰ ফিউজ তাৰ ব্ৰেইন ওৱাছ হৈ ধোৱা ওলাই গৈছে প্ৰশ্ন শুনি।,HOF
67,68,"অসমীয়া হত তহতে ভূল কৰি আছা প্ৰতিবাদ কৰি । মইয়ো অসমীয়া । তথাপি অসমখন বাংলাদেশ হব দিব নোৱাৰা যদি হিন্দুভাষী মানুহ বিধায়ক ,মন্ত্ৰী নহয় কাৰ আগত হাতজোৰ কৰিবি । ",HOF
68,69,"আমাৰ চাৰে আকৌ আনৰ ভাষাতহে উজু দেখিছে, সন্তানৰ  সুবিধাৰ বাবেই",HOF
69,70,অধমে কেৱল দোষহে দেখে এইটো এটা মহা অধম ৷,HOF
70,71,পইচা চোবৰ দৰকাৰ হোই... টাৰ মানে এ২ নহোই জে... ফোন পে নম্বৰ। তু ডি টোকা খুজিবো... এনডি মুখ্য আৰএছএন হৈছে যে নিজৰ চেল্ফ ৰেচপিচিটি টু অ'লপ থোবো এলজিই...।,NOT
71,72,বান্দোৰী জোনি দেখিবোলে ইমান বেয়া। আইজোনি মেকআপ নোকোৰা কে ইমান বেয়া দেখিবোলে,HOF
72,73,নিজে হিন্দু ধৰ্মৰ হলো বুলিয়ে যে বেয়া তো ও ভাল বুলি কম তেনেকুৱা মই নহয় আৰু ভালকৈ নজনাকৈ বেলেগৰ ধৰ্ম সমালোচনাও নকৰো।,NOT
73,74,ভুখণ্ডৰ আৱৰযনা এই আৱৰযনায় গোটেই নাৰী সমাজক কলংকিত কৰি আছে ।,HOF
74,75,ৎচিত বস্তু বিলাক এখেত সকলৰ বেছি প্ৰিয়।,HOF
75,76,টিমআৰ ভাল আচে পোগোলা মেণ্টেল,HOF
76,77,সেই কাৰনেই মিয়াৰ লগত আহি যায় কাপুৰুষ নপুংসক নিলাজৰ দৰে উল্টা পাল্টা মন্তব্য কৰি থাকা,HOF
77,78,দাদা আপুনি জুই,NOT
78,79,এইটো নাভি ফেচন হয় !!,NOT
79,80,বাতৰি দিয়া পৰটেল নিউজ দাতা সবে তাৰ পাছত কি হল সেই টো নেদেখালেজে কি পাল টু নিউজ দিয়ে।,NOT
80,81,গানত-জুবিন,NOT
81,82,আৰু  আমি recharge ভৰাও তহতৰ ভিডিঅ'বোৰ  YouTube ত চাবলৈ আৰু কি তহতক birthday party কৰিবলৈ আমিয়েই পইচা দিব লাগে নেকি কেলা কাম নাই 😡😡😡,HOF
82,83,কাৰণ প্ৰতিজন প্ৰাৰ্থীয়েই বিজেপিৰ বাবে মূল্যবান আৰু প্ৰতিজনৰ বাবে বিজেপিৰ শদিয়াৰ পৰা ধুবুৰীলৈ লাখ লাখ কেদাৰে যুঁজ দিব।,HOF
83,84,কথাত কোনেও হেৰুৱাব নোৱাৰে হেমন্ত বিশ্ব শৰ্মা ক । কথা চহকী। ৰাইজৰ আৰু ৰাজ্যৰ উন্নয়ন zero।,HOF
84,85,ই হৈছে আমৰ সভ্য সমজৰ যুবক যুবতী/ডেকা/গাভৰুক লজ্জিত কৰা হৈছে।,NOT
85,86,অসমৰ মানুহেই চিনি নাপায় বাহিৰৰ মানুহে আৰু চাবনে?,NOT
87,88,প্ৰকৃত মুছলমানে দেশৰ লগত গাদ্দাৰী নকৰে কেতিয়াও। দেশৰ লগত গাদ্দাৰী কৰা মুছলমান মুছলমান নহয়। তেনেকুৱা মানুহ মুনাফিক।,HOF
89,90,গুৰুত্বপূৰ্ণ কথাত আলোচনা নকৰি বাৰে ভচহু কথা পতাত আপোনালোকে কেতিয়াবাই পি এইচ ডি কৰিছে।,NOT
90,91,আৰু নকম কিয় বাল কৰিব,HOF
91,92,পশ্চিমবংগৰ পৰাও মিঞাই খেদিছে ৷ ভয়তে চৰণীয়া পথাৰত আহি দম যে ৷,HOF
92,93,কামটো কৰিব কেতিয়া ?,NOT
93,94,যিয়েই নহক আমবাৰীত এটা নতুন বিবাহভৱন হোৱাতো একেবাৰে খাটাং,NOT
94,95,হিমন্ত) ইয়াক কেলা মাৰিদিব পৰা হলে বহুত শান্তী হল হেতেন,HOF
96,97,চৰ দুটা মান খাই নেকি তাই সোধক চোন,HOF
97,98,মাকক চুদাটোৰ পকৰত ভলোকা বাহ ভৰাই দিব লাগে।,HOF
98,99,এফালে মুছলমানক ধ্বংস কৰিব আৰু আনফালে মুছলমানক গুন ঘাই আছে। সেইটো হ'ল ৰাজনৈতিক,HOF
99,100,সকলো যৌণ উৎপীড়ীত হলেই অসৎকায্য লিপ্ত হব পাৰে যিকোনো সময়তে ।,HOF
100,101,আমাক যুদ্ধ লাগে,HOF
101,102,কুকুৰৰ পোৱালি কেইটাক কৰায়ত্ত কৰি ফাছি দিব লাগে,HOF
102,103,আমি লেতেৰা নহয়।,NOT
103,104,শৃংখল চলিহাই অসমৰ অসমীয়া বঙালী কথা কোৱা নাছিল,NOT
104,105,তুৰ স্তৰৰ বেচি ভিডিঅ' বোনাউ বুলিয়ে ওলোপ বেচি কোৰো টুক আনচাবস্ক্ৰাইব কোৰি দিৱ,HOF
106,107,আছল কথা একেবাৰতে নকৈ কিয় একে কথাকে গৰুৱে ঘাঁহ পাগুলা দৰে পাগুলি থাকে আৰুতো বাতৰি চাব লাগিব,NOT
107,108,আৰু অলপ খুলি দিব পাৰিব,HOF
110,111,"আপোনৰ লগত কাৰো ব্যক্তিগত শত্রুতা নাই কিন্ত আপত্তি  ৰ মুল কাৰণ এই বিল খন,,",NOT
111,112,কাটি পেলাব বোলে,HOF
112,113,মোৰ মোবাইলত ৰিচাৰ্চ নাছিলে তোমাৰ videos চাবলৈ মই ঘৰত কণী পাৰি থকা হাঁহ জনীকে বিক্ৰী কৰি ৰিচাৰ্ছ ভৰাই দিলো।,NOT
113,114,গা আখান দুখান লাগি গেছি তন্ধোৰ তাকে শুনি!?!!,NOT
114,115,এইবিলাকক কোবাব লাগে আমাৰ অসমৰ হিন্দু এনেকোৱা হব নোৱাৰে,HOF
116,117,নিউজ চেনেলটোৱেও পৰিবেশন কৰিবলৈ বাতৰি বিছাৰি নাপালে।,NOT
117,118,আমাৰো ঘৰত ছোৱালী আছে ।আমি ন দি ক'ব পাৰো আমাৰ ছোৱালী মুছলমানলৈ নাযায় ।,HOF
118,119,হেৰি বৰা ডাঙৰীয়া হেই ১ মিনিতটাে কেতিয়া আহিবনাে শ্বাৰ্থপৰ নিলাজ সকল ক্ষমতাৰ লােভত পৰি দেশ জাতি মাতি দলৰ পতিশ্ৰুতি সকলাে পাহৰি ইমান সুৱৰ্ণ সুজুগ হেৰুৱালে।,HOF
119,120,এইবিলাক ৰ   লগত এনেকুৱাই হব,HOF
120,121,নিজৰ গুপ্তাংগটোকে কাটি এটা ভাল নিউজ‌ নকৰেনো কিয়।,HOF
121,122,হৰি নাম লব লাগে পাৰিলে এইটো বয়সত আপুনি,NOT
122,123,একো ভাল নিউজ নায় ।,HOF
124,125,ই নিঘাট পাগল হল,HOF
127,128,"কেনেকোই চণ্ডো মিলাই মিলাই ৰোষ্ট কোৰা ৰে, মণিচু আৰু দেই",HOF
128,129,যাত্ৰা পাৰ্তি চলিছে নেকি কাম নাই আৰু,HOF
129,130,সেইবাবেই ভক্তসকলে দিল্লীৰ স্কুলত জুই লগাই দিছিল চাগৈ।,HOF
130,131,কুকুৰৰ পোৱালিক ফাঁচি দিব লাগে,HOF
131,132,গেদাই লগত লাইন মাৰিছিলি যে তই তোক নেনিলা নিকিন তোক তেতিয়া গেদা হে গেদা,HOF
132,133,"ডাঙৰ মানুহৰ চৰ্দি কাহ হ'লে কেনে দেখি এবাৰ বাতৰিত দেখাবচোন, আগতে কোনেও দেখুওৱা নাই।",NOT
133,134,তহঁতৰ এইবোৰ নাটক চাবলৈ আমাৰ সময় নাই  এজনীয়ে কান্দি কান্দি পইচা খুজি থাকে আৰু এটাই এইবোৰ ফকতীয়া বোৰ কাৰবাৰ,HOF
134,135,কিয়নো অসমখন তহঁতৰ চৰণীয়া পথাৰ যে ৷ বেছি নকৰিবি ৷,HOF
135,136,মোৰ বহুত স্মৃতিয়ে ছবিখনৰ লগত জৰিত,NOT
136,137,"দেখা নিপন দা,,, মুছলিম ছোৱালী বোৰ নিজকে লৈ সংযত , ",HOF
137,138,এই গেদা কবি সকলক অতি শীঘ্ৰে পাকিস্তান সীমান্তত লাট মাৰি থৈ আহিব লাগে,HOF
139,140,আমি ঘড়ী হাতত হে দিওঁ তেওঁৰ নিচিনা অভদ্রামী নকৰো।,HOF
140,141,ঘটিটো,HOF
141,142,জনাব এর বাংলা অনুবাদ বলে দিলে উপকৃত হতাম,NOT
142,143,ঠিকেই আছে দিয়া এসময়ত বিগ বছ ঘৰত বিখ্যাত হব পৰা নাছিল,HOF
143,144,চৰকাৰে এই বিলাক নেদেখ নেকি,NOT
145,146,"অভিনয় জগত বাদ দি বেলেগ দিশতো সফল হোৱাটো বিচাৰো , ",NOT
146,147,ফুল ফুলিলেহে গোন্ধ ওলায় ।কথাতো সচা যেন অনুমান হয় ।,HOF
147,148,"তাই লিখিছিল "" এইবোৰ মৰক আমাৰ কি আহে যায়"" তাইৰ এয়ে মানৱতা নেকি , ",NOT
148,149,এই জনীৰ বাতৰি আৰু প্ৰচাৰ নকৰিবহে।,NOT
149,150,দাদা তোমাৰ ভিডিও বোৰ চাই বহুত  ভাল লাগে।,NOT
150,151,ইহঁতৰ নিচিনা নাৰীৰ প্ৰতি সন্মানত মুৰ দোঁ খায়গ'লে আৰু চিধা কৰিব নোৱাৰি,HOF
151,152,এনেকুৱা ফটো পোচ দিলো,NOT
152,153,নকতকী জনী ভাল লাগিল,HOF
153,154,তহতে নিজৰ ছোৱালীক ৰেপ কৰা ছালা,HOF
154,155,ই কত ইমান সাহস পালে গোপীনাথ বৰদলৈ দেবক অপমান কৰিবলৈ।,HOF
155,156,মানসিকতা চোৱাচোন।,NOT
156,157,এইজন কি মুটা মাৰি থাকিব নেকি,HOF
157,158,"এই খন সমাজ ইংল্যান্ড আমেৰিকা যুক্তৰাষ্ট্ৰৰ সমাজ নহয়,",NOT
158,159,ই পগলা হৈছে,HOF
159,160,অতি সোনকালে পকা দলং নিৰ্মাণ কৰি সকলো ৰাইজৰ যাতায়াতৰ সুবিধা কৰিবলৈ আহ্বান কৰিছোঁ,NOT
161,162,এইটোক মাৰি পেলাব লাগে।,HOF
163,164,সেইগিতা মুৰত মুতি দিম,HOF
164,165,ইহঁতক জীয়াই ৰখাই ভুল,HOF
165,166,"শিক্ষামন্ত্ৰীৰ কি কাম আছে,কেবল স্কুটি দিয়াৰ প্ৰলোভন দেখুৱাই ৰাজনীতি কৰিব জানে।",HOF
167,168,ঠিক দিছা বন্ধু। ভয় নকৰিবা । সদায় লগত আছো।,HOF
168,169,সুন্দৰ।,NOT
169,170,ঘটিতো কৰিবলৈ ইংৰাজীত কথা-বাৰ্তা কৰিছে। দুয়োজনলৈ ধিক্কাৰ দিছোঁ।,HOF
170,171,অতি লজ্জাৰ কথা কুৰিশতিকাৰত,HOF
171,172,ভাৰতৰ ভোটাৰে অৰ্থনীতি বা উন্নয়নৰ কথা ভাবি ভোট নিদিয়ে।,HOF
172,173,নে তই মাইকেল জেকচনৰ জীয়েক?,NOT
173,174,আমাৰ গাঁৱৰ ভভলা ছাগলীটোয়ে পাব লাগে তাইক,HOF
174,175,ভিক্টৰ দাস এজন ভাল মানুহ।উচিত কথা কৈছে তেও।,NOT
175,176,জধা মুৰখক ইতীহাখ পৰিৱ দে,HOF
176,177,কেলা দিব লাগিছিলে,HOF
177,178,মানে HALALA কোম্পেনীত জইন কৰিলে !!!,HOF
178,179,সত্ৰ/নামঘৰ/মন্দিৰত ও এনে হাজাৰ হাজাৰ ঘটনা ঘটাৰ বাতৰি পোৱা গৈছে ।,HOF
179,180,ঐ পাগল হেই বুলি সকলোৱে গেদা নহয়,HOF
180,181,গেদাক কামত লোগৈয়াৰ পৰি নীতি বুজি পালে সেই কাৰণে আমি সেই সকলোকে কামত ৰাখিব না লাগে,HOF
181,182,ময়ূৰ   আপোনাৰ   prank  call   চাই   বহুত   ভাল   লাগে   আৰু   আপোনাৰ   prank call    মই   প্ৰয়েই   চাও    আগলৈকো   এনেবোৰ   ভিডিঅ   দি   যাব    বুলি   আশাবাদী,NOT
183,184,টুৰে বেচি জোলন হোইজ,HOF
185,186,অন্ধবিশ্বাস সমাজৰ পৰা নাইকিয়া কৰিব লাগিব,HOF
186,187,পিশাচেনি এই,HOF
187,188,মিছাকৈ সম্প্ৰচাৰ কৰিছে,HOF
188,189,"জীৱনৰ শেষ বিন্দু তেজ থকা লৈকে যুঁজি জাম তথাপি আমি কানামানো""জয় আই অসম""!",NOT
189,190,সচা মিছা হলেও নহলেও এই জনীৰ লগত নাচাজে।,NOT
190,191,আপুনাৰ এই লাগ বান্ধ নোহোৱা অসভ্য comment তো যদি screenshot কৰি দিও ?,NOT
193,194,"ঘৰত ডেকা ডেকা লৰা ছোৱালী আছে অ, উপায় নাই বুঢ়াৰ",NOT
194,195,গেদা মানে তোৰ হ'ব লগা মানুহজন । তোৰ বাপেৰ গেদা তোৰ চৈধ্য পুৰুষ গেদা ।।,HOF
195,196,বাতৰিটো পঢ়ি খুব মজা লৈছা,NOT
196,197,মঞ্চত সকলোৱে ভাল গাব নোৱাৰে। পাৰ্শ্ব গীত আৰু মঞ্চৰ প্ৰদৰ্শন বেলেগ। উদিত নাৰায়নৰ দৰে কণ্ঠ শিল্পীৰো লাইভ অনুষ্ঠান ভাল নহয়।,NOT
198,199,সৰু কালৰ কথা মনত পৰিল। খেলৰ নিয়ম ভংগ কৰিলে  আউট। কিন্ত  আমাৰ মন্ত্ৰীৰ খেল  চাই  চাই  নিজকে  কোনোবা পৰাধীন  দেশত  থকা যেন লাগে। অসমৰ  জ্ঞানী গুনি  মানুহ বোৰৰ মুখৰ মাত  হৰিল।,HOF
199,200,এই  বিলাকো কম নহয় এটা কথাকে হাতী সুৰ লগাই লগাই কথা বহলাই থাকিব কাম নাই যদি নকৰিব ।,HOF
200,201,ইহঁতেই গেৰুৱা দলৰ সম্পদ নেকি😠😠,NOT
202,203,মিচা কথা নকব৷,NOT
203,204,ঐ বনৰী ৰেন্দি শিখা শৰ্মা তই বোৰ্খা পিন্ধি থাক,HOF
204,205,"ৰাষ্ট্ৰসংঘকে ভংগ কৰি দিব লাগে , কাম নাইকিয়া ৰাষ্ট্ৰসংঘ দুখন দেশৰ মাজত যুদ্ধ হৈই থাকিলেও ৰখাব নোৱাৰে যেতিয়া |",NOT
206,207,TRP ৰ কাৰণে জ্ঞানৰ ভৰাল অৰ্থাৎ মগজুটো কত বন্দকত দিলি ।,NOT
207,208,"সিহত আন্তৰাষ্ট্ৰীয নাগৰিক আৰু বঙ্শ ,জনসঙখা বঢ়াই অসমখন নিজৰ হাতলৈ আনিব।",HOF
208,209,যি নহওঁক অসম আৰু দিল্লীৰ মুখ্য মন্ত্ৰীৰ মাজত যে কিবা এটা সমন্ধ গঢ়ি উঠিছে,NOT
209,210,"এই জনিৰ মাক বাপেক আছে নে নাই নাজানো,",HOF
211,212,অতি সোনকালে তদন্ত কৰি তেওক হাস্তি দিব লাগে,NOT
212,213,গো-মুত্ৰ খাইছা নেকি ?,HOF
213,214,আম আদমি পাৰ্টি যিন্দাবাদ,NOT
214,215,মানুহে কেনেকে এইবোৰ কৰিব পাৰে,HOF
215,216,মনে মনে কিবা ভাবিওঁ লাভ নাই.....অসমত খিলঞ্জীয়া আৰু ভূমিপুত্ৰ সকলতকৈ তহঁক ডাঙৰ নহয় আৰু হবও নোৱাৰ....,NOT
216,217,"মাজুলি বাসীয়ে কওক , সূধক চৰকাৰেসূবিধা নিদিলে তলি উদং কেইটাই দিব পাৰিব নেকি?",HOF
218,219,নতকী কৰি আমোয়ালে | এতিয়া ধমত মন দিয়া,NOT
219,220,নিজৰ ৰাজনৈতিক সুবিধা আদায়ৰ বাদে অসমৰ বিশেষ কিবা কৰিছে বুলি মোৰ মনে নধৰে।,HOF
220,221,অসমৰ ভকতক দিব পৰাকৈ কোনো জনৰে সামৰ্থ নাই ।,HOF
222,223,তেহে মানিম পৰাজীৱী নহয় বুলি....,HOF
223,224,"ভন্টী, Shopping, Chocolates aru Travel ভাল নাপালে দেখোন জীৱনেই শেষ।",NOT
224,225,এয়াই হৈছে অসম তথা অসমীয়াৰ ইজনৰ আনজনৰ প্ৰতি থকা শ্ৰদ্ধা।,NOT
228,229,"15 লাখ টকা একাউণ্ট নোসোমালে, বান মুক্ত অসম নহল , ব্ৰহ্মপুত্ৰৰ দুয়ো পাৰে এক্সপ্ৰেছ হাইৱে নহল । এইবাৰ কি ভুৱা প্ৰতিশ্ৰুতি দিব।",HOF
229,230,"জয় হিন্দ , বন্দে মাতরম , ভারত মাতা কি জয়।",NOT
232,233,"হয় মন্ত্ৰী মহোদয়,মই 09/03/2022 মোৰ গাড়ী RC কাম শেষ কৰিলো।ডাক যোগে পাব বুলি ক'লে।কিন্তু ডাক ঘৰত আজিলৈকে নাই অহা বুলি কয়।উৎকোচ নিদিলে এনেকুৱাই লেহেমীয়া হয়।",HOF
233,234,কিন দুনিয়াত নকৰাৰ কাম তোৰ কৰিপেলা তেওঁ মোৰ মতে,HOF
234,235,আইমী তুমি তোমাৰ জেগাত থকাই ভাল হব ।,HOF
235,236,গোতেই আসন কেইখন আনক এৰি দিয়াতকৈ নিজৰ দখলত ৰখাই ভাল !,HOF
236,237,এই জনি তু বাৰেই ৰেন্দি হয় দেখাতে কয়,HOF
237,238,কেজিৰীবাল কোন ২০২৪ ৰ ইলেকসন অকল মোদীকলৈহে হব।,HOF
241,242,অনেক সুন্দর হয়েছে Abed Ali ভাই,NOT
242,243,সংসাৰ ধংস কৰে এই সকল মানুহে,HOF
243,244,আমাৰ অসমত কেবল ৰাজনীতিহে কৰিব  জানে।,HOF
244,245,আমি খিলঞ্জীয়া সকল যৰ পৰাই হলো তহতক কিয় লাগে.,NOT
245,246,"নামনি অসমৰ পৰা চাকৰিৰ পৰীক্ষা কেন্দ্ৰ সমুহ বহু দুৰৰ জিলা সমুহ লৈ গল,তাৰ কোনো প্ৰতিবাদ নকৰিলে । ",NOT
247,248,কিম জঙৰ হিচাপত তাই এই খন পৃথিৱীত থাকিব নাপালে হেতেন,HOF
249,250,শক্তিশালী বিকল্পৰ নিতান্তই প্ৰয়োজন অসমত ।,HOF
250,251,"এনে বোৰ চাই চাই কোনো যুবকে বেয়া কাম কৰিলে কি হব ,",HOF
254,255,জবা নাইচা নাইছা দেওয়া আছে,NOT
255,256,অভাৰ এক্টিঙৰ কাট ৫০ টকা,HOF
256,257,আৰক্ষীয়ে উচিত প্ৰতুত্তৰ দিয়াটো বিচাৰিছো,NOT
257,258,ঘন্টাবোৰৰ কাৰনে অসমখনবেয়া হৈছে চাল্লা,HOF
258,259,তোমাৰ উচৰত পাখি বা ফোন নাবাৰ টা,NOT
259,260,ঘাটিয়া,NOT
260,261,জহৰী,HOF
261,262,দেখা পাই হাত ভৰি পিৰ পিৰাই উঠিছে,HOF
262,263,বেয়া লগা নাই,HOF
263,264,বিজেপিনো কোন ধুৱা তুলসীৰ পাত??,HOF
264,265,কৰ পৰা তপকিল মালতো,HOF
265,266,নাটক ইহতৰ এইবিলাক...লাজ থাকিলে ওলাই আহিলে হয়,HOF
266,267,আমাৰ আনৰ বস্তু লোৱা বাবে দৰ্শকে আদৰি নলয় । নিজেই নিজক ভাল বোলাত কে আনে ভাল কব লাগে,NOT
268,269,ডাইনী পৰুৱা,HOF
269,270,গোতেই ভাৰতখণ আজিলৈকে একো নোহোৱাকৈ যে আছে একমাত্ৰ ভাল মুচলমানৰ কাৰনে..,NOT
270,271,আছুৰ নামত ইহঁত কলংক।,HOF
271,272,আমিৰ খানৰ লেট্ৰিনৰ পাইপ ফাটি বেয়া গোন্ধ ওলাইছে। খৱৰ পোৱা নাই নেকি আপোনালোকে।,HOF
272,273,"কথাত কটা যায়,কথাত বঁটা পায়। সেইকাৰণে সাৱধান কথা কওঁতে ",NOT
273,274,কিয় জিকা বিধায়ক পলাই ফুৰিছে,HOF
274,275," চকু নিদিবি ঘেন্টা ,চকু ঘুকি লৈ আনিম",HOF
275,276,অভদ্য ল'ৰা,HOF
276,277,কলিয়াবৰত জিকিব জানো ?,HOF
